External Library Name, Link to License, License Name, Binaries using the license, URL
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/translations/qtwebengine_locales/cs.pak lib64/qt/bin/qtwebengine_locales/he.pak lib64/qt/bin/qtwebengine_locales/ta.pak lib64/qt/bin/qtwebengine_locales/ar.pak lib64/qt/lib/Qt5WebEngineCoreAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/ca.pak lib64/qt/translations/qtwebengine_locales/zh-CN.pak lib64/qt/bin/qtwebengine_locales/te.pak lib64/qt/bin/qtwebengine_locales/sw.pak lib64/qt/bin/qtwebengine_locales/uk.pak lib64/qt/translations/qtwebengine_locales/pt-PT.pak lib64/qt/resources/icudtl.dat lib64/qt/translations/qtwebengine_locales/ta.pak lib64/qt/bin/qtwebengine_devtools_resources.pak lib64/qt/bin/qtwebengine_resources_100p.pak lib64/qt/translations/qtwebengine_locales/da.pak lib64/qt/lib/Qt5PrintSupportAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/th.pak lib64/qt/bin/qtwebengine_locales/cs.pak lib64/qt/bin/qtwebengine_locales/ru.pak lib64/qt/bin/qtwebengine_locales/sv.pak lib64/qt/bin/qtwebengine_locales/fil.pak lib64/qt/bin/qtwebengine_locales/et.pak lib64/qt/bin/qtwebengine_locales/pl.pak lib64/qt/bin/qtwebengine_locales/hi.pak lib64/qt/bin/qtwebengine_locales/pt-BR.pak lib64/qt/resources/qtwebengine_resources_100p.pak lib64/qt/translations/qtwebengine_locales/ro.pak lib64/qt/bin/qtwebengine_locales/kn.pak lib64/qt/bin/qtwebengine_locales/ms.pak lib64/qt/resources/qtwebengine_devtools_resources.pak lib64/qt/translations/qtwebengine_locales/id.pak lib64/qt/translations/qtwebengine_locales/hi.pak lib64/qt/bin/qtwebengine_locales/gu.pak lib64/qt/translations/qtwebengine_locales/sv.pak lib64/qt/bin/qtwebengine_locales/bg.pak lib64/qt/translations/qtwebengine_locales/sr.pak lib64/qt/bin/qtwebengine_locales/lt.pak lib64/qt/plugins/imageformats/qwebp.dll lib64/qt/translations/qtwebengine_locales/gu.pak lib64/qt/bin/qtwebengine_locales/es-419.pak lib64/qt/plugins/imageformats/qico.dll lib64/qt/translations/qtwebengine_locales/et.pak lib64/qt/translations/qtwebengine_locales/vi.pak lib64/qt/lib/Qt5QuickAndroidEmu.dll lib64/qt/lib/Qt5QuickWidgetsAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/fa.pak lib64/qt/plugins/imageformats/qtga.dll lib64/qt/translations/qtwebengine_locales/nl.pak lib64/qt/plugins/imageformats/qwbmp.dll lib64/qt/translations/qtwebengine_locales/hr.pak lib64/qt/bin/qtwebengine_locales/en-US.pak lib64/qt/translations/qtwebengine_locales/hu.pak lib64/qt/translations/qtwebengine_locales/pt-BR.pak lib64/qt/bin/qtwebengine_locales/fr.pak lib64/qt/bin/qtwebengine_locales/nl.pak lib64/qt/plugins/platforms/qwindows.dll lib64/qt/bin/qtwebengine_locales/ja.pak lib64/qt/bin/qtwebengine_locales/zh-CN.pak lib64/qt/translations/qtwebengine_locales/ms.pak lib64/qt/translations/qtwebengine_locales/pl.pak lib64/qt/bin/qtwebengine_locales/de.pak lib64/qt/plugins/iconengines/qsvgicon.dll lib64/qt/translations/qtwebengine_locales/he.pak lib64/qt/translations/qtwebengine_locales/fa.pak lib64/qt/translations/qtwebengine_locales/it.pak lib64/qt/translations/qtwebengine_locales/ml.pak lib64/qt/bin/qtwebengine_locales/bn.pak lib64/qt/translations/qtwebengine_locales/zh-TW.pak lib64/qt/lib/Qt5CoreAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/am.pak lib64/qt/translations/qtwebengine_locales/sw.pak lib64/qt/lib/Qt5WebSocketsAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/sk.pak lib64/qt/translations/qtwebengine_locales/uk.pak lib64/qt/translations/qtwebengine_locales/bn.pak lib64/qt/bin/qtwebengine_locales/ko.pak ./emulator.exe lib64/qt/translations/qtwebengine_locales/lt.pak lib64/qt/bin/qtwebengine_locales/es.pak lib64/qt/bin/qtwebengine_locales/lv.pak lib64/qt/translations/qtwebengine_locales/es-419.pak lib64/qt/bin/qtwebengine_locales/nb.pak lib64/qt/lib/Qt5NetworkAndroidEmu.dll lib64/qt/plugins/imageformats/qgif.dll lib64/qt/translations/qtwebengine_locales/ru.pak lib64/qt/plugins/imageformats/qicns.dll lib64/qt/translations/qtwebengine_locales/bg.pak lib64/qt/bin/qtwebengine_locales/id.pak lib64/qt/plugins/bearer/qgenericbearer.dll lib64/qt/bin/qtwebengine_resources_200p.pak lib64/qt/bin/qtwebengine_locales/zh-TW.pak lib64/qt/lib/Qt5WebChannelAndroidEmu.dll lib64/qt/resources/qtwebengine_resources_200p.pak lib64/qt/lib/Qt5GuiAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/te.pak lib64/qt/translations/qtwebengine_locales/kn.pak lib64/qt/translations/qtwebengine_locales/tr.pak lib64/qt/bin/qtwebengine_locales/ca.pak lib64/qt/translations/qtwebengine_locales/sl.pak lib64/qt/lib/Qt5PositioningAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/el.pak lib64/qt/lib/Qt5QmlAndroidEmu.dll lib64/qt/plugins/imageformats/qtiff.dll lib64/qt/translations/qtwebengine_locales/es.pak lib64/qt/bin/qtwebengine_locales/en-GB.pak lib64/qt/translations/qtwebengine_locales/fi.pak lib64/qt/translations/qtwebengine_locales/ja.pak lib64/qt/bin/icudtl.dat lib64/qt/bin/qtwebengine_locales/ml.pak lib64/qt/bin/qtwebengine_locales/hu.pak lib64/qt/bin/qtwebengine_locales/tr.pak lib64/qt/translations/qtwebengine_locales/ko.pak lib64/qt/bin/qtwebengine_locales/el.pak lib64/qt/bin/qtwebengine_locales/sk.pak lib64/qt/bin/qtwebengine_locales/it.pak lib64/qt/resources/qtwebengine_resources.pak lib64/qt/bin/qtwebengine_locales/mr.pak lib64/qt/translations/qtwebengine_locales/en-US.pak lib64/qt/lib/Qt5SvgAndroidEmu.dll lib64/qt/bin/QtWebEngineProcess.exe lib64/qt/translations/qtwebengine_locales/nb.pak lib64/qt/bin/qtwebengine_locales/hr.pak lib64/qt/translations/qtwebengine_locales/fr.pak lib64/qt/translations/qtwebengine_locales/en-GB.pak lib64/qt/bin/qtwebengine_locales/th.pak lib64/qt/translations/qtwebengine_locales/mr.pak lib64/qt/translations/qtwebengine_locales/ar.pak lib64/qt/bin/qtwebengine_resources.pak lib64/qt/bin/qtwebengine_locales/vi.pak lib64/qt/bin/qtwebengine_locales/fi.pak lib64/qt/bin/qtwebengine_locales/ro.pak lib64/qt/bin/qtwebengine_locales/da.pak lib64/qt/translations/qtwebengine_locales/fil.pak lib64/qt/bin/qtwebengine_locales/sr.pak lib64/qt/lib/Qt5WebEngineWidgetsAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/pt-PT.pak lib64/qt/plugins/imageformats/qsvg.dll lib64/qt/lib/Qt5WidgetsAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/am.pak lib64/qt/plugins/imageformats/qjpeg.dll lib64/qt/translations/qtwebengine_locales/de.pak lib64/qt/translations/qtwebengine_locales/lv.pak lib64/qt/bin/qtwebengine_locales/sl.pak, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./netsimd.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, android-emu-metrics.dll android-emu-shared.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./emulator.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
vcredist, https://marketplace.visualstudio.com/items/VisualStudioProductTeam.VisualStudioProjectSystemExtensibilityPreview/license, 2017-redistribution-vs, ./vcruntime140.dll ./msvcp140_1.dll ./msvcp140_2.dll lib64/msvcp140_atomic_wait.dll ./msvcp140_codecvt_ids.dll ./concrt140.dll ./msvcp140_atomic_wait.dll lib64/vccorlib140.dll lib64/msvcp140.dll lib64/msvcp140_1.dll ./msvcp140.dll lib64/msvcp140_2.dll ./vccorlib140.dll ./emulator.exe lib64/concrt140.dll ./vcruntime140_1.dll lib64/vcruntime140_1.dll lib64/msvcp140_codecvt_ids.dll lib64/vcruntime140.dll, https://docs.microsoft.com/en-us/visualstudio/productinfo/2017-redistribution-vs
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, android-emu-metrics.dll emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, android-emu-shared.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe gfxstream_backend.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
